,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1205,Sep-Nov,2000,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",sports table,N,7-11
1206,Jun-Aug,2000,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",sports table,N,unknown
1207,Jun-Aug,2000,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",low water,N,18-22
1209,Jun-Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,12-17
1210,Jun-Aug,2000,Unprovoked,USA,Florida,Hutchinson Island,sports table,N,7-11
1211,Jun-Aug,2000,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",low water,N,12-17
1212,Jun-Aug,2000,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",sports table,unknown,18-22
1213,Jun-Aug,2000,Provoked,ENGLAND,North Devon, Lundy Island,low water,N,12-17
1214,Jun-Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,N,unknown
1215,Jun-Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",low water,N,unknown
1216,Jun-Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",low water,N,12-17
1217,Jun-Aug,2000,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",underwater,unknown,12-17
1218,Jun-Aug,2000,Unprovoked,USA,Florida,"Sanibel Island, Lee County",sports table,N,7-11
1219,Jun-Aug,2000,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",unknown,unknown,unknown
1220,Jun-Aug,2000,Unprovoked,USA,US Virgin Islands,Buck Island,low water,N,18-22
1222,Jun-Aug,2000,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",low water,N,12-17
1223,Jun-Aug,2000,Unprovoked,AUSTRALIA,Victoria,Levys Beach,sports table,N,7-11
1224,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,unknown,unknown,underwater,N,7-11
